sedol,fqenddt,next_trading_date
436892,2017-12-31,2018-03-09
436892,2018-06-30,2018-07-27
436892,2018-12-31,2019-03-15
436892,2019-06-30,2019-07-26
438042,2012-06-30,2012-07-23
438042,2012-12-31,2013-02-15
438042,2013-06-30,2013-07-19
438042,2013-12-31,2014-02-14
438042,2014-06-30,2014-07-23
438042,2014-12-31,2015-02-13
438042,2015-06-30,2015-07-24
438042,2015-12-31,2016-02-12
438042,2016-06-30,2016-07-22
438042,2016-12-31,2017-02-10
438042,2017-06-30,2017-07-21
438042,2017-12-31,2018-02-09
438042,2018-06-30,2018-07-20
438042,2018-12-31,2019-02-07
438042,2019-06-30,2019-07-19
439515,2017-03-31,2017-04-28
439515,2017-06-30,2017-07-28
439960,2018-03-31,2018-05-18
440044,2012-12-31,2013-02-13
440044,2013-06-30,2013-07-26
440044,2013-12-31,2014-02-13
440044,2014-06-30,2014-07-30
440044,2014-12-31,2015-02-13
440044,2015-06-30,2015-07-27
440044,2015-12-31,2016-02-12
440044,2016-06-30,2016-07-27
440044,2016-12-31,2017-02-10
440044,2017-06-30,2017-07-24
440044,2017-12-31,2018-02-19
440044,2018-06-30,2018-07-23
440044,2018-12-31,2019-02-19
440044,2019-06-30,2019-07-24
440044,2019-12-31,2020-02-18
440759,2012-09-30,2012-11-07
440759,2012-12-31,2013-02-15
440759,2013-03-31,2013-04-26
440759,2015-09-30,2015-10-26
440759,2015-12-31,2016-02-12
440759,2016-03-31,2016-04-25
440759,2016-06-30,2016-07-18
440759,2016-12-31,2017-02-13
440759,2017-09-30,2017-10-26
440759,2018-06-30,2018-07-19
440759,2018-12-31,2019-02-15
440759,2019-03-31,2019-04-26
440759,2019-06-30,2019-07-19
440759,2019-09-30,2019-10-25
440776,2018-03-31,2018-05-08
440776,2018-06-30,2018-08-20
440776,2018-09-30,2018-11-12
440776,2018-12-31,2019-02-11
440776,2019-09-30,2019-10-25
440920,2018-09-30,2018-11-02
440920,2018-12-31,2019-02-25
440920,2019-03-31,2019-04-30
440920,2019-06-30,2019-08-30
440920,2019-12-31,2020-02-25
442233,2017-09-30,2017-11-17
442233,2017-12-31,2018-03-02
442233,2018-03-31,2018-05-25
443448,2017-03-31,2017-05-23
444747,2014-06-30,2014-07-21
444747,2017-06-30,2017-07-24
444747,2017-09-30,2017-10-27
444747,2017-12-31,2018-02-15
444747,2018-03-31,2018-04-26
444747,2018-06-30,2018-07-23
444747,2018-09-30,2018-10-26
444747,2018-12-31,2019-02-15
444747,2019-03-31,2019-04-26
444747,2019-06-30,2019-07-22
444747,2019-09-30,2019-10-24
444747,2019-12-31,2020-02-14
447621,2012-09-30,2012-11-15
447621,2012-12-31,2013-03-01
447621,2013-03-31,2013-05-10
447621,2013-06-30,2013-08-01
447621,2013-09-30,2013-11-01
447621,2013-12-31,2014-02-27
447621,2014-03-31,2014-05-01
447621,2014-06-30,2014-07-31
447621,2014-09-30,2014-10-31
447621,2014-12-31,2015-03-02
447621,2015-03-31,2015-05-12
447621,2015-06-30,2015-08-03
447621,2015-09-30,2015-11-06
447621,2015-12-31,2016-03-02
447621,2016-03-31,2016-05-10
447621,2016-06-30,2016-08-01
447621,2016-09-30,2016-11-15
447621,2016-12-31,2017-02-24
447621,2017-03-31,2017-05-12
447621,2017-09-30,2017-11-08
447621,2017-12-31,2018-02-28
447621,2018-03-31,2018-05-15
447621,2018-09-30,2018-11-08
447621,2018-12-31,2019-03-01
447621,2019-03-31,2019-05-10
447621,2019-06-30,2019-07-26
447621,2019-09-30,2019-11-06
447621,2019-12-31,2020-02-28
449000,2012-09-30,2012-10-25
449000,2012-12-31,2013-02-06
449000,2013-03-31,2013-04-26
449000,2013-06-30,2013-07-25
449000,2013-12-31,2014-02-05
449000,2014-12-31,2015-02-11
449000,2015-03-31,2015-04-29
449000,2015-06-30,2015-07-23
449000,2015-09-30,2015-10-23
449000,2015-12-31,2016-02-04
449000,2016-03-31,2016-04-28
449000,2016-06-30,2016-08-04
449000,2017-03-31,2017-04-28
449000,2017-06-30,2017-07-28
449000,2018-06-30,2018-07-26
449774,2013-03-31,2013-05-17
450109,2013-12-31,2014-02-17
450109,2014-09-30,2014-11-17
450109,2014-12-31,2015-02-19
